l.a1ɪ1.t.ɪ0.n.ʌ0.n, l.a1ɪ1.ɾ.ɪ0.n.ʌ0.n
b.ɛ0.n.i0.n.ɑ1.t.i0, b.ɛ0.n.i0.n.ɑ1.ɾ.i0
s.o2ʊ2.ɑ1.t.ʌ0, s.o2ʊ2.ɑ1.ɾ.ʌ0
j.ɑ0.m.ɑ0.m.o1ʊ1.t.o0ʊ0, j.ɑ0.m.ɑ0.m.o1ʊ1.ɾ.o0ʊ0
d.e1ɪ1.t.ʌ0.s.ɛ2.t, d.e1ɪ1.ɾ.ʌ0.s.ɛ2.t
p.ɹ.o1ʊ1.t.ʌ0, p.ɹ.o1ʊ1.ɾ.ʌ0
l.i1.t.ʌ0, l.i1.ɾ.ʌ0
m.ɚ1.t.ʌ0.l.z, m.ɚ1.ɾ.ʌ0.l.z
ɪ1.n.ʌ0.n.d.e2ɪ2.t.ɪ0.d, ɪ1.n.ʌ0.n.d.e2ɪ2.ɾ.ɪ0.d
l.ɪ1.t.ɚ0.ʌ0.s.i0, l.ɪ1.ɾ.ɚ0.ʌ0.s.i0
æ2.n.ʌ0.s.θ.ɛ1.t.ɪ0.k.s, æ2.n.ʌ0.s.θ.ɛ1.ɾ.ɪ0.k.s
s.æ1.t.ɪ2.d.e2ɪ2, s.æ1.ɾ.ɪ2.d.e2ɪ2
p.ɑ1.t.æ2.ʃ, p.ɑ1.ɾ.æ2.ʃ
v.ɪ2.d.ɛ1.t.ʌ0, v.ɪ2.d.ɛ1.ɾ.ʌ0
k.w.o1ʊ1.t.ʌ0.b.ʌ0.l, k.w.o1ʊ1.ɾ.ʌ0.b.ʌ0.l
f.o1ʊ1.t.o0ʊ0.k.ɑ2.p.i0.z, f.o1ʊ1.ɾ.o0ʊ0.k.ɑ2.p.i0.z
z.l.ɔ1.t.i0, z.l.ɔ1.ɾ.i0
b.j.u1.t.ɚ0, b.j.u1.ɾ.ɚ0
ɪ2.s.t.ɪ0.t.u1.t.o0ʊ0, ɪ2.s.t.ɪ0.t.u1.ɾ.o0ʊ0
s.p.ɪ1.t.ʌ0.l, s.p.ɪ1.ɾ.ʌ0.l
ʌ0.dʒ.ɪ2.n.ʌ0.m.o1ʊ1.t.o0ʊ0, ʌ0.dʒ.ɪ2.n.ʌ0.m.o1ʊ1.ɾ.o0ʊ0
m.i1.t.ɪ0.ŋ.z, m.i1.ɾ.ɪ0.ŋ.z
s.æ1.tʃ.ɚ0.e2ɪ2.t.ɪ0.ŋ, s.æ1.tʃ.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
g.ɹ.u1.t.ɚ0.z, g.ɹ.u1.ɾ.ɚ0.z
ɪ2.ɹ.ʌ0.f.j.u1.t.ʌ0.b.ʌ0.l, ɪ2.ɹ.ʌ0.f.j.u1.ɾ.ʌ0.b.ʌ0.l
ɪ2.n.t.ɚ0.m.æ0.g.n.ɛ1.t.ɪ0.k.s, ɪ2.n.t.ɚ0.m.æ0.g.n.ɛ1.ɾ.ɪ0.k.s
b.a1ʊ1.t.ʌ0.n, b.a1ʊ1.ɾ.ʌ0.n
d.ɪ0.s.ɛ1.m.ʌ0.n.e2ɪ2.t.ʌ0.d, d.ɪ0.s.ɛ1.m.ʌ0.n.e2ɪ2.ɾ.ʌ0.d
m.ɛ1.d.ʌ0.t.e2ɪ2.t.ɪ0.v, m.ɛ1.d.ʌ0.t.e2ɪ2.ɾ.ɪ0.v
t.ɹ.a0ɪ0.l.æ1.t.ɚ0.ʌ0.l, t.ɹ.a0ɪ0.l.æ1.ɾ.ɚ0.ʌ0.l
b.ɛ0.n.v.ɛ0.n.u1.t.o0ʊ0, b.ɛ0.n.v.ɛ0.n.u1.ɾ.o0ʊ0
k.i1.t.o0ʊ0.n, k.i1.ɾ.o0ʊ0.n
d.ɛ2.m.ʌ0.k.ɹ.æ1.t.ɪ0.k.l.i0, d.ɛ2.m.ʌ0.k.ɹ.æ1.ɾ.ɪ0.k.l.i0
b.e1ɪ1.t.ɪ0.d, b.e1ɪ1.ɾ.ɪ0.d
b.ɛ1.t.ɚ0.m.ʌ0.n.t, b.ɛ1.ɾ.ɚ0.m.ʌ0.n.t
k.ʌ0.n.v.ɚ1.t.ɪ0.ŋ, k.ʌ0.n.v.ɚ1.ɾ.ɪ0.ŋ
ɛ1.s.k.ʌ0.l.e2ɪ2.t.ɚ0.z, ɛ1.s.k.ʌ0.l.e2ɪ2.ɾ.ɚ0.z
m.ɛ1.t.ʌ0.l.z, m.ɛ1.ɾ.ʌ0.l.z
f.l.a1ɪ1.t.i0.ʌ0.s.t, f.l.a1ɪ1.ɾ.i0.ʌ0.s.t
d.ɪ0.s.ɪ1.n.t.ʌ0.g.ɹ.e2ɪ2.t.ɪ0.d, d.ɪ0.s.ɪ1.n.t.ʌ0.g.ɹ.e2ɪ2.ɾ.ɪ0.d
v.æ0.n.u0.ɑ1.t.u0, v.æ0.n.u0.ɑ1.ɾ.u0
m.ʌ0.k.ɑ1.t.ʌ0, m.ʌ0.k.ɑ1.ɾ.ʌ0
m.ɪ0.s.æ1.l.ʌ0.k.e2ɪ2.t.ɪ0.d, m.ɪ0.s.æ1.l.ʌ0.k.e2ɪ2.ɾ.ɪ0.d
j.ʌ0.v.a1ɪ1.t.ʌ0, j.ʌ0.v.a1ɪ1.ɾ.ʌ0
ʌ0.n.b.ʌ1.t.ʌ0.n.d, ʌ0.n.b.ʌ1.ɾ.ʌ0.n.d
v.i1.t.o2ʊ2, v.i1.ɾ.o2ʊ2
k.w.ɑ1.n.t.ɪ0.t.e2ɪ2.t.ɪ0.v, k.w.ɑ1.n.t.ɪ0.t.e2ɪ2.ɾ.ɪ0.v
m.æ1.t.ɪ0.k, m.æ1.ɾ.ɪ0.k
n.ɪ1.t.ɪ0.ŋ, n.ɪ1.ɾ.ɪ0.ŋ
ɔ1.t.o0ʊ0.p.ɑ2.ɹ.t.s, ɔ1.ɾ.o0ʊ0.p.ɑ2.ɹ.t.s
m.ʌ0.k.æ1.t.ʌ0.n, m.ʌ0.k.æ1.ɾ.ʌ0.n
ɪ2.m.p.ɚ1.s.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, ɪ2.m.p.ɚ1.s.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
m.ɚ0.u1.t.i0, m.ɚ0.u1.ɾ.i0
dʒ.i0.l.o1ʊ1.t.i0, dʒ.i0.l.o1ʊ1.ɾ.i0
p.ɪ1.t.ʌ0.l, p.ɪ1.ɾ.ʌ0.l
p.ɛ1.t.ɪ0.ŋ.ɚ0, p.ɛ1.ɾ.ɪ0.ŋ.ɚ0
k.ɑ1.t.ʌ0.n.d, k.ɑ1.ɾ.ʌ0.n.d
f.ɹ.e1ɪ1.t.ɚ0.z, f.ɹ.e1ɪ1.ɾ.ɚ0.z
k.ɪ1.t.i0, k.ɪ1.ɾ.i0
ɪ2.n.ʌ0.v.e1ɪ1.t.ɪ0.ŋ, ɪ2.n.ʌ0.v.e1ɪ1.ɾ.ɪ0.ŋ
θ.ɚ1.t.i1.n.θ, θ.ɚ1.ɾ.i1.n.θ
n.ɛ2.t.ʌ0.n.j.ɑ1.h.u2, n.ɛ2.ɾ.ʌ0.n.j.ɑ1.h.u2
n.ʌ2.t.ɪ0.v.ɪ0.d.ɑ1.d, n.ʌ2.ɾ.ɪ0.v.ɪ0.d.ɑ1.d
ɪ2.l.u1.m.ʌ0.n.e2ɪ2.t.ʌ0.d, ɪ2.l.u1.m.ʌ0.n.e2ɪ2.ɾ.ʌ0.d
k.ʌ0.n.s.i1.t.ʌ0.d, k.ʌ0.n.s.i1.ɾ.ʌ0.d
ɹ.ʌ0.b.ɚ1.t.ʌ0, ɹ.ʌ0.b.ɚ1.ɾ.ʌ0
s.ɛ0.s.t.i1.t.o0ʊ0, s.ɛ0.s.t.i1.ɾ.o0ʊ0
b.ɑ1.t.ʌ0.l.n.ɛ2.k.s, b.ɑ1.ɾ.ʌ0.l.n.ɛ2.k.s
t.æ1.t.ɚ0.s.ʌ0.l, t.æ1.ɾ.ɚ0.s.ʌ0.l
ɛ1.dʒ.j.u0.k.e2ɪ2.t.ɚ0, ɛ1.dʒ.j.u0.k.e2ɪ2.ɾ.ɚ0
ɹ.o1ʊ1.t.e2ɪ2.t.ɪ0.d, ɹ.o1ʊ1.ɾ.e2ɪ2.ɾ.ɪ0.d
ʃ.n.a1ɪ1.t.ɚ0, ʃ.n.a1ɪ1.ɾ.ɚ0
p.ɚ1.t.ɪ0.n.ɪ0.n.t, p.ɚ1.ɾ.ɪ0.n.ɪ0.n.t
h.i2.m.ʌ0.l.ɪ1.t.ɪ0.k, h.i2.m.ʌ0.l.ɪ1.ɾ.ɪ0.k
b.ɛ1.t.ɑ0.ɹ, b.ɛ1.ɾ.ɑ0.ɹ
d.e0ɪ0.b.j.u1.t.ɪ0.ŋ, d.e0ɪ0.b.j.u1.ɾ.ɪ0.ŋ
t.ɚ1.m.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, t.ɚ1.m.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
k.ɹ.e1ɪ1.t.ɚ0.z, k.ɹ.e1ɪ1.ɾ.ɚ0.z
m.e1ɪ1.t.æ2.g, m.e1ɪ1.ɾ.æ2.g
ɹ.o1ʊ1.t.i0, ɹ.o1ʊ1.ɾ.i0
s.ʌ0.b.ɔ1.ɹ.d.ʌ0.n.e2ɪ2.t.ɪ0.d, s.ʌ0.b.ɔ1.ɹ.d.ʌ0.n.e2ɪ2.ɾ.ɪ0.d
ɹ.æ1.t.ʌ0.l.ɪ0.ŋ, ɹ.æ1.ɾ.ʌ0.l.ɪ0.ŋ
l.ɪ1.t.ɚ0.ɛ2.ɹ.i0, l.ɪ1.ɾ.ɚ0.ɛ2.ɹ.i0
ɹ.a1ʊ1.t.ʌ0.n.b.ɚ0.g, ɹ.a1ʊ1.ɾ.ʌ0.n.b.ɚ0.g
b.i0.n.a1ɪ1.t.ɪ0.ŋ, b.i0.n.a1ɪ1.ɾ.ɪ0.ŋ
ɹ.ɪ0.v.ɚ1.b.ɚ0.e2ɪ2.t.ɪ0.d, ɹ.ɪ0.v.ɚ1.b.ɚ0.e2ɪ2.ɾ.ɪ0.d
s.k.æ1.t.ɚ0.g.ɔ2.ɹ.i0, s.k.æ1.ɾ.ɚ0.g.ɔ2.ɹ.i0
b.ɚ0.t.ɪ0.n.ɔ1.t.i0, b.ɚ0.t.ɪ0.n.ɔ1.ɾ.i0
p.æ1.t.ʌ0.n.t.ʌ0.b.ʌ0.l, p.æ1.ɾ.ʌ0.n.t.ʌ0.b.ʌ0.l
k.æ1.t.ʌ0.l, k.æ1.ɾ.ʌ0.l
z.ɪ1.t.ɪ0.k, z.ɪ1.ɾ.ɪ0.k
s.æ1.t.ɚ0.a2ɪ2.z, s.æ1.ɾ.ɚ0.a2ɪ2.z
ʌ0.p.ɪ1.n.j.ʌ0.n.e2ɪ2.t.ɪ0.d, ʌ0.p.ɪ1.n.j.ʌ0.n.e2ɪ2.ɾ.ɪ0.d
m.u1.t.i0, m.u1.ɾ.i0
b.ɹ.ɪ1.t.ʌ0.n.i0, b.ɹ.ɪ1.ɾ.ʌ0.n.i0
b.u1.t.o0ʊ0.z, b.u1.ɾ.o0ʊ0.z
n.ɔ1.t.ʌ0.l.ʌ0.s, n.ɔ1.ɾ.ʌ0.l.ʌ0.s
b.i1.t.ʌ0.l, b.i1.ɾ.ʌ0.l
f.o1ʊ1.t.o0ʊ0.ɔ1.p, f.o1ʊ1.ɾ.o0ʊ0.ɔ1.p
ʌ0.s.æ1.s.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, ʌ0.s.æ1.s.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.ɪ2.g.ʌ0.l.ɛ1.t.o0ʊ0, ɹ.ɪ2.g.ʌ0.l.ɛ1.ɾ.o0ʊ0
p.ɹ.ɑ0.s.θ.ɛ1.t.ɪ0.k, p.ɹ.ɑ0.s.θ.ɛ1.ɾ.ɪ0.k
b.ɹ.u1.t.ʌ0.l.i0, b.ɹ.u1.ɾ.ʌ0.l.i0
ɛ0.n.t.a1ɪ1.t.ʌ0.l.d, ɛ0.n.t.a1ɪ1.ɾ.ʌ0.l.d
s.ɚ1.t.ʌ0.f.a2ɪ2.d, s.ɚ1.ɾ.ʌ0.f.a2ɪ2.d
f.ɚ1.t.ʌ0.l.a2ɪ2.z, f.ɚ1.ɾ.ʌ0.l.a2ɪ2.z
p.ʌ0.l.u1.t.ɚ0.z, p.ʌ0.l.u1.ɾ.ɚ0.z
w.i1.t.ʌ0.n, w.i1.ɾ.ʌ0.n
n.ʌ0.s.ɛ1.s.ɪ0.t.e2ɪ2.t.ɪ0.ŋ, n.ʌ0.s.ɛ1.s.ɪ0.t.e2ɪ2.ɾ.ɪ0.ŋ
h.ʌ0.m.b.ɚ1.t.o2ʊ2, h.ʌ0.m.b.ɚ1.ɾ.o2ʊ2
s.u0.s.t.e1ɪ1.t.ʌ0, s.u0.s.t.e1ɪ1.ɾ.ʌ0
b.ɪ1.t.ʌ0.n, b.ɪ1.ɾ.ʌ0.n
b.ɹ.ɪ1.t.ʌ0.l, b.ɹ.ɪ1.ɾ.ʌ0.l
l.ʌ0.g.ɑ1.t.o2ʊ2, l.ʌ0.g.ɑ1.ɾ.o2ʊ2
ɛ0.s.θ.ɛ1.t.ɪ0.k.s, ɛ0.s.θ.ɛ1.ɾ.ɪ0.k.s
k.æ1.t.ʌ0.l.a2ɪ2.z, k.æ1.ɾ.ʌ0.l.a2ɪ2.z
k.e1ɪ1.t.i0, k.e1ɪ1.ɾ.i0
h.ɛ2.t.ɚ0.o0ʊ0.s.ɛ1.k.ʃ.u2.ʌ0.l, h.ɛ2.ɾ.ɚ0.o0ʊ0.s.ɛ1.k.ʃ.u2.ʌ0.l
v.i1.t.o2ʊ2.z, v.i1.ɾ.o2ʊ2.z
ɪ0.k.s.a1ɪ1.t.ʌ0.d.l.i0, ɪ0.k.s.a1ɪ1.ɾ.ʌ0.d.l.i0
d.æ2.m.i0.ɛ1.t.ʌ0, d.æ2.m.i0.ɛ1.ɾ.ʌ0
a1ʊ1.t.ɪ0.ŋ, a1ʊ1.ɾ.ɪ0.ŋ
h.ɑ1.t.ʌ0.l.ɪ0.ŋ, h.ɑ1.ɾ.ʌ0.l.ɪ0.ŋ
v.æ0.n.p.ʌ1.t.ʌ0.n, v.æ0.n.p.ʌ1.ɾ.ʌ0.n
ɔ1.t.ʌ0, ɔ1.ɾ.ʌ0
w.ɔ1.t.ɚ0.w.ɚ0.θ, w.ɔ1.ɾ.ɚ0.w.ɚ0.θ
v.a1ɪ1.t.ʌ0.m.ʌ0.n.z, v.a1ɪ1.ɾ.ʌ0.m.ʌ0.n.z
n.o0ʊ0.l.ɛ1.t.ʌ0, n.o0ʊ0.l.ɛ1.ɾ.ʌ0
b.ʌ1.t.ɚ0.f.l.a2ɪ2.z, b.ʌ1.ɾ.ɚ0.f.l.a2ɪ2.z
p.ɹ.o1ʊ1.t.ɛ2.s.t.s, p.ɹ.o1ʊ1.ɾ.ɛ2.s.t.s
j.ɑ1.t.ɪ0.ŋ.z, j.ɑ1.ɾ.ɪ0.ŋ.z
k.ɹ.æ1.t.ʌ0.n, k.ɹ.æ1.ɾ.ʌ0.n
m.o0ʊ0.b.u1.t.u2, m.o0ʊ0.b.u1.ɾ.u2
g.o1ʊ1.l.d.w.ɔ2.t.ɚ0, g.o1ʊ1.l.d.w.ɔ2.ɾ.ɚ0
s.u1.p.ɚ0.m.ɪ2.n.i0.k.ʌ0.m.p.j.u2.t.ɚ0, s.u1.p.ɚ0.m.ɪ2.n.i0.k.ʌ0.m.p.j.u2.ɾ.ɚ0
ɪ0.g.z.æ1.s.ɚ0.b.e2ɪ2.t.ɪ0.ŋ, ɪ0.g.z.æ1.s.ɚ0.b.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.æ1.t.ʌ0.l.ɚ0, ɹ.æ1.ɾ.ʌ0.l.ɚ0
k.æ1.t.i0, k.æ1.ɾ.i0
d.ɪ0.m.i1.t.ɚ0, d.ɪ0.m.i1.ɾ.ɚ0
ɛ2.s.p.ɪ0.ɹ.i1.t.o0ʊ0, ɛ2.s.p.ɪ0.ɹ.i1.ɾ.o0ʊ0
ɪ1.n.ʌ0.n.d.e2ɪ2.t.ɪ0.ŋ, ɪ1.n.ʌ0.n.d.e2ɪ2.ɾ.ɪ0.ŋ
ɹ.ɪ0.f.j.u1.t.ɪ0.d, ɹ.ɪ0.f.j.u1.ɾ.ɪ0.d
s.p.ɑ1.t.l.a2ɪ2.t.ɪ0.d, s.p.ɑ1.t.l.a2ɪ2.ɾ.ɪ0.d
p.ɪ1.t.ɪ0.ŋ, p.ɪ1.ɾ.ɪ0.ŋ
p.i0.t.s.u1.t.o0ʊ0, p.i0.t.s.u1.ɾ.o0ʊ0
p.ɔ0.ɹ.ɛ1.t.ʌ0, p.ɔ0.ɹ.ɛ1.ɾ.ʌ0
f.l.æ1.t.ʌ0.n.d, f.l.æ1.ɾ.ʌ0.n.d
ɪ2.n.ɛ1.b.ɹ.i0.e2ɪ2.t.ʌ0.d, ɪ2.n.ɛ1.b.ɹ.i0.e2ɪ2.ɾ.ʌ0.d
b.ɛ1.t.ʌ0.v.ɑ0.n, b.ɛ1.ɾ.ʌ0.v.ɑ0.n
n.ɔ1.z.i0.e2ɪ2.t.ʌ0.d, n.ɔ1.z.i0.e2ɪ2.ɾ.ʌ0.d
ɹ.æ1.t.ʌ0.t.a2ɪ2.z.m.ʌ0.n.t, ɹ.æ1.ɾ.ʌ0.t.a2ɪ2.z.m.ʌ0.n.t
b.ɚ1.t.ɪ0.l.d, b.ɚ1.ɾ.ɪ0.l.d
s.ɪ1.t.ɪ0.ŋ, s.ɪ1.ɾ.ɪ0.ŋ
n.o0ʊ0.v.ɑ1.t.o0ʊ0, n.o0ʊ0.v.ɑ1.ɾ.o0ʊ0
ɔ1.t.ɑ2.p.s.i0, ɔ1.ɾ.ɑ2.p.s.i0
f.ɔ0.ɹ.m.ɑ1.t.o0ʊ0, f.ɔ0.ɹ.m.ɑ1.ɾ.o0ʊ0
ɹ.ɑ1.t.ɪ0.d, ɹ.ɑ1.ɾ.ɪ0.d
i2.t.o1ʊ1.tʃ.u2, i2.ɾ.o1ʊ1.tʃ.u2
s.t.ɹ.i1.t.ɚ0.z, s.t.ɹ.i1.ɾ.ɚ0.z
f.ʌ0.n.æ1.t.ɪ0.k, f.ʌ0.n.æ1.ɾ.ɪ0.k
ð.æ1.t.ʌ0.v, ð.æ1.ɾ.ʌ0.v
m.o0ʊ0.l.i1.t.ɚ0, m.o0ʊ0.l.i1.ɾ.ɚ0
t.ɚ1.t.ʌ0.l.z, t.ɚ1.ɾ.ʌ0.l.z
ɪ0.l.e1ɪ1.t.ʌ0.d, ɪ0.l.e1ɪ1.ɾ.ʌ0.d
w.ɪ1.t.ʌ0.l, w.ɪ1.ɾ.ʌ0.l
j.u0.n.a1ɪ1.t.ɪ0.ŋ, j.u0.n.a1ɪ1.ɾ.ɪ0.ŋ
ɛ0.l.m.u1.t.ʌ2.z.b.ɛ2.l, ɛ0.l.m.u1.ɾ.ʌ2.z.b.ɛ2.l
ɪ1.t.i0, ɪ1.ɾ.i0
ɛ2.p.ɪ0.g.ɹ.ʌ0.m.æ1.t.ɪ0.k, ɛ2.p.ɪ0.g.ɹ.ʌ0.m.æ1.ɾ.ɪ0.k
f.ɚ1.t.ʌ0.l.a2ɪ2.z.ɚ0.z, f.ɚ1.ɾ.ʌ0.l.a2ɪ2.z.ɚ0.z
g.i1.t.ɪ0.ŋ, g.i1.ɾ.ɪ0.ŋ
g.l.ɪ1.t.ɚ0.z, g.l.ɪ1.ɾ.ɚ0.z
ɪ2.n.k.ɑ1.ɹ.s.ɚ0.e2ɪ2.t.ɪ0.ŋ, ɪ2.n.k.ɑ1.ɹ.s.ɚ0.e2ɪ2.ɾ.ɪ0.ŋ
s.ɛ1.n.s.d.æ1.t.ʌ0.z, s.ɛ1.n.s.d.æ1.ɾ.ʌ0.z
v.o1ʊ1.t.ʌ0.d, v.o1ʊ1.ɾ.ʌ0.d
m.ɑ0.ɹ.k.ɛ1.t.i0, m.ɑ0.ɹ.k.ɛ1.ɾ.i0
m.ɪ2.t.ɛ2.l.u2.ɹ.o1ʊ1.p.ʌ0, m.ɪ2.ɾ.ɛ2.l.u2.ɹ.o1ʊ1.p.ʌ0
d.ɪ0.f.i1.t.ɪ0.d, d.ɪ0.f.i1.ɾ.ɪ0.d
k.ɹ.i0.e2ɪ2.t.ʌ0.b.ʊ1.k, k.ɹ.i0.e2ɪ2.ɾ.ʌ0.b.ʊ1.k
a1ʊ1.t.e2ɪ2.k, a1ʊ1.ɾ.e2ɪ2.k
b.ɪ1.t.ɪ0.ŋ, b.ɪ1.ɾ.ɪ0.ŋ
s.a1ɪ1.t.o0ʊ0.t.ɛ2.k.s, s.a1ɪ1.ɾ.o0ʊ0.t.ɛ2.k.s
k.i1.t.o0ʊ0, k.i1.ɾ.o0ʊ0
m.ɑ1.t.o0ʊ0.z, m.ɑ1.ɾ.o0ʊ0.z
m.ɑ1.dʒ.ʌ0.l.e2ɪ2.t.ɚ0, m.ɑ1.dʒ.ʌ0.l.e2ɪ2.ɾ.ɚ0
f.ɛ0.ɹ.m.ɑ1.t.ɑ2, f.ɛ0.ɹ.m.ɑ1.ɾ.ɑ2
t.i1.t.ɑ0.n.z, t.i1.ɾ.ɑ0.n.z
d.i0.l.u1.t.ɪ0.v, d.i0.l.u1.ɾ.ɪ0.v
ɑ1.s.ʌ0.l.e2ɪ2.t.ɚ0, ɑ1.s.ʌ0.l.e2ɪ2.ɾ.ɚ0
m.ɛ1.t.ʌ0.f.ɔ0.ɹ.z, m.ɛ1.ɾ.ʌ0.f.ɔ0.ɹ.z
g.ɔ2ɪ2.z.w.e1ɪ1.t.ʌ0, g.ɔ2ɪ2.z.w.e1ɪ1.ɾ.ʌ0
s.t.ʌ0.l.ɛ1.t.o0ʊ0.z, s.t.ʌ0.l.ɛ1.ɾ.o0ʊ0.z
m.ɛ1.t.ɪ0.k.s, m.ɛ1.ɾ.ɪ0.k.s
h.a1ɪ1.l.a2ɪ2.t.ɪ0.d, h.a1ɪ1.l.a2ɪ2.ɾ.ɪ0.d
m.j.u2.t.ʌ0.l.e1ɪ1.ʃ.ʌ0.n.z, m.j.u2.ɾ.ʌ0.l.e1ɪ1.ʃ.ʌ0.n.z
b.ɹ.u1.t.ʌ0.s, b.ɹ.u1.ɾ.ʌ0.s
p.ɛ1.t.ɪ0.g.ɹ.u2, p.ɛ1.ɾ.ɪ0.g.ɹ.u2
s.w.i1.t.i0, s.w.i1.ɾ.i0
s.a1ʊ1.t.ɚ0, s.a1ʊ1.ɾ.ɚ0
n.o1ʊ1.t.ɪ0.d, n.o1ʊ1.ɾ.ɪ0.d
e2ɪ2.t.ɪ1.p.i2.ʌ0, e2ɪ2.ɾ.ɪ1.p.i2.ʌ0
d.e1ɪ1.t.ʌ0.k.ɑ2.ɹ.d.z, d.e1ɪ1.ɾ.ʌ0.k.ɑ2.ɹ.d.z
k.ʌ1.l.m.ʌ0.n.e2ɪ2.t.ʌ0.d, k.ʌ1.l.m.ʌ0.n.e2ɪ2.ɾ.ʌ0.d
k.ɔ1.t.ɚ0.a0ɪ0.z.ɪ0.z, k.ɔ1.ɾ.ɚ0.a0ɪ0.z.ɪ0.z
h.ɚ1.t.ɪ0.g, h.ɚ1.ɾ.ɪ0.g
ʃ.æ1.t.ɚ0, ʃ.æ1.ɾ.ɚ0
s.u0.ɑ1.t.ʌ0.z, s.u0.ɑ1.ɾ.ʌ0.z
t.i1.t.ʌ0, t.i1.ɾ.ʌ0
w.e1ɪ1.t.ɛ2.k, w.e1ɪ1.ɾ.ɛ2.k
s.ʌ0.b.m.ɪ1.t.ɪ0.ŋ, s.ʌ0.b.m.ɪ1.ɾ.ɪ0.ŋ
b.ʌ1.t.ɚ0.w.ɚ2.θ, b.ʌ1.ɾ.ɚ0.w.ɚ2.θ
b.ɪ1.t.ɪ0.k, b.ɪ1.ɾ.ɪ0.k
b.u2.t.ʌ0.l.e1ɪ1.z.i0.z, b.u2.ɾ.ʌ0.l.e1ɪ1.z.i0.z
w.ɔ1.t.ɚ0.w.e2ɪ2, w.ɔ1.ɾ.ɚ0.w.e2ɪ2
m.o1ʊ1.t.i0, m.o1ʊ1.ɾ.i0
p.ɪ1.k.tʃ.ɚ2.t.ɛ2.l, p.ɪ1.k.tʃ.ɚ2.ɾ.ɛ2.l
s.i1.t.ʌ0.s.ɪ0.z, s.i1.ɾ.ʌ0.s.ɪ0.z
ʌ0.w.e1ɪ1.t.ɪ0.d, ʌ0.w.e1ɪ1.ɾ.ɪ0.d
b.e1ɪ1.b.i0.s.ɪ2.t.ɚ0.z, b.e1ɪ1.b.i0.s.ɪ2.ɾ.ɚ0.z
ɑ1.t.i0.z.ʌ0.n, ɑ1.ɾ.i0.z.ʌ0.n
ɔ1.t.ʌ0.m.z, ɔ1.ɾ.ʌ0.m.z
p.e1ɪ1.t.i0, p.e1ɪ1.ɾ.i0
t.u1.t.ɚ0.z, t.u1.ɾ.ɚ0.z
b.ʌ1.t.ɚ0.f.i0.l.d, b.ʌ1.ɾ.ɚ0.f.i0.l.d
d.ɪ0.b.ɛ2.n.ʌ0.d.ɛ1.t.o2ʊ2, d.ɪ0.b.ɛ2.n.ʌ0.d.ɛ1.ɾ.o2ʊ2
m.æ2.s.t.ɔ0ɪ0.d.a1ɪ1.t.ʌ0.s, m.æ2.s.t.ɔ0ɪ0.d.a1ɪ1.ɾ.ʌ0.s
d.ɪ0.s.ɛ1.l.ɚ0.e2ɪ2.t.ɪ0.d, d.ɪ0.s.ɛ1.l.ɚ0.e2ɪ2.ɾ.ɪ0.d
n.u1.j.ɔ1.ɹ.k.s.ɪ1.t.i0, n.u1.j.ɔ1.ɹ.k.s.ɪ1.ɾ.i0
æ1.t.ʌ0.l.i0, æ1.ɾ.ʌ0.l.i0
p.ɑ0.n.t.ɪ1.f.ʌ0.k.e2ɪ2.t.ɪ0.d, p.ɑ0.n.t.ɪ1.f.ʌ0.k.e2ɪ2.ɾ.ɪ0.d
k.ɔ1.ɹ.ʌ0.l.e2ɪ2.t.ʌ0.d, k.ɔ1.ɹ.ʌ0.l.e2ɪ2.ɾ.ʌ0.d
d.ɪ2.f.ɚ0.ɛ1.n.tʃ.i0.e2ɪ2.t.ʌ0.d, d.ɪ2.f.ɚ0.ɛ1.n.tʃ.i0.e2ɪ2.ɾ.ʌ0.d
s.k.w.ɚ1.t.ɪ0.d, s.k.w.ɚ1.ɾ.ɪ0.d
k.l.ɔ1.ɹ.ʌ0.n.e2ɪ2.t.ɪ0.ŋ, k.l.ɔ1.ɹ.ʌ0.n.e2ɪ2.ɾ.ɪ0.ŋ
n.æ1.n.o0ʊ0.m.i2.t.ɚ0.z, n.æ1.n.o0ʊ0.m.i2.ɾ.ɚ0.z
ʌ1.n.d.ɚ0.s.t.e2ɪ2.t.ɪ0.ŋ, ʌ1.n.d.ɚ0.s.t.e2ɪ2.ɾ.ɪ0.ŋ
d.ɪ0.s.ɑ0.b.ɑ1.t.o0ʊ0, d.ɪ0.s.ɑ0.b.ɑ1.ɾ.o0ʊ0
s.k.ɪ1.t.ɪ0.ʃ.n.ʌ0.s, s.k.ɪ1.ɾ.ɪ0.ʃ.n.ʌ0.s
s.o0ʊ0.d.ɪ1.t.ɪ0.k, s.o0ʊ0.d.ɪ1.ɾ.ɪ0.k
ʌ0.p.s.ɛ1.t.ɪ0.ŋ, ʌ0.p.s.ɛ1.ɾ.ɪ0.ŋ
